"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"ANAPC4",1.82272981512798e-10,0.832314851606906,1.13825175353738e-143,0.000301969659001725,1.5680400959331e-219,7.26984493527761e-17,5.6070881760934e-95,2.62765377713691e-08,0.00569431035707107,5.4170395707134e-13,0.0320899417422144,0.0765668952605699,0,0.000873589643317997,1.13476079367249e-139,2.71516011925363e-29,0.0740475784790656,0,1.04076688484959e-147,4.295734740793e-47,3.24891901249133e-124,1.63421267429356e-13,3.05944706108563e-26,1.93581302256868e-06,1.83778760065536e-40,4.82866930552479e-18,2.61182332257119e-09,2.69616422770688e-118,6.93112315120892e-25,1.22495286456156e-16
"ANAPC5",7.33250227989886e-20,7.51198794099845e-12,3.57000242610065e-238,0.0719517095324699,1.49132062777466e-99,4.16724507637768e-23,8.83734758277222e-47,4.47056522393938e-125,0.000413678810141223,3.73012439922085e-31,4.27805012624749e-112,0.00363830838222532,0,2.8635711707793e-08,2.99307647418282e-120,0.048305304025221,0.000695652763957791,4.34924648742392e-116,1.30977989901333e-174,3.36053509624327e-33,2.95228093099406e-47,3.0986160782475e-49,8.2555603867787e-11,0.0684944427106344,8.10619356888689e-56,6.8561836738912e-09,0.371711287743743,3.30686632811239e-133,4.55531805949763e-41,3.13276858775016e-10
"AQR",3.31027790482259e-113,0.349861299129701,1.47838031677591e-96,9.01566514522227e-06,0,9.35074544668071e-47,7.97790922434678e-05,1.29354329994641e-278,0.000586854184658649,2.36505560354383e-06,6.10231442198973e-17,0.00170472821689305,0,3.28034217935371e-10,1.46762352192578e-133,5.63700188496758e-49,2.24393536613557e-07,0,4.15528103902476e-161,9.78299639728076e-47,5.91196718337971e-208,5.10955752186421e-27,0.042393876281805,0.259072959379786,3.72355111664947e-13,3.10851761011718e-19,1.86607059101347e-122,3.49758520883665e-144,4.04462745584656e-41,2.51757243431216e-33
"ARCN1",1.12346618227126e-81,1.38462098322945e-07,0,0.0159738959623291,0,5.63157103589396e-24,5.99931689677067e-14,1.35043683490481e-64,0.00317482155916548,0.000110834634926718,0.0383838177888251,0.0135329736444592,1.02705779108465e-226,2.08055544544042e-15,1.80893084978126e-56,1.24212549627441e-41,0.00028880936736168,0,1.39836602522119e-132,9.00847442985705e-27,6.5989823863598e-59,2.84061188942006e-44,8.64588616966363e-07,0.000311153095570462,1.99252919271943e-18,6.11725872226512e-09,0.0855332437766569,2.64865240937429e-36,3.10993152007046e-29,8.16065525882253e-07
"ARL2",1.33391353147474e-66,2.70820801532087e-40,7.33314235563967e-309,0.521825018935286,0.000159914767607648,7.52988951932131e-11,5.30097656103742e-178,9.24565603357529e-67,0.0484377719801332,0.354546372132988,0.0570954841117368,0.0345747903551269,5.74618540174739e-142,0.027312743799127,0,0.113883412036345,3.97716424086067e-35,5.87456369795798e-14,2.97857537329042e-221,0.000159610999504904,0,4.20507713221237e-39,0.00126214058103705,9.85894557807817e-28,7.05368174471744e-63,7.04922125808185e-25,2.57321658851508e-60,2.9063552576541e-05,1.24571559905507e-33,0.112200687777609
"ARMC7",2.07277050442382e-34,1.42706332085095e-72,5.60676093110565e-32,0.126715253534684,1.14483374542734e-18,0.109525027491667,1.9477817780843e-29,7.7467727025984e-87,0.112386033697657,1.23078505855034e-12,1.81572251193872e-09,0.961113323017254,1.01016661948701e-319,6.94537725564556e-08,8.67892211280556e-42,3.88445088564468e-100,0.500684423742559,0,8.79856730369263e-32,1.09171492048929e-22,2.7802149292486e-268,0.0108390767698093,7.35028774179364e-26,1.01732951664423e-17,1.83035579406003e-71,0.991307769950392,5.52374653976798e-29,1.45061194907891e-72,1.42360835481641e-07,3.60971153070679e-14
"ATP2A2",8.52508463068035e-231,1.83163473717427e-195,4.87055181155973e-15,0.0369748070377251,9.17412214352771e-170,3.50460245622152e-230,0,8.55199298738531e-78,4.96512587903368e-06,6.78192127893771e-202,1.24894903098115e-50,0.0107996724986241,1.00888345795099e-116,5.6161325033631e-50,3.07616585597688e-138,2.30707705761206e-112,0.00160855921807501,2.45063347411134e-181,4.96861511450269e-214,3.38162753669659e-51,0,7.78941313061557e-163,1.4278104340107e-11,1.25450188565462e-120,0,2.55037039756562e-241,6.87565670964891e-132,7.55320043935933e-109,4.60959013115291e-43,4.44267904526471e-35
"ATP5A1",4.44333541622675e-123,8.89119946734066e-31,2.58760450474447e-59,0.100688036787023,6.41617274166036e-60,7.55059862968908e-34,6.80592576795335e-45,1.36284124135931e-14,0.000470246589770401,5.15263422028292e-20,5.42526110724990e-12,0.0517398574926573,4.35298617902977e-83,0.119183445809109,2.10541708093713e-56,8.52169875664242e-86,2.99476522627801e-05,9.12039423417955e-145,2.57432943073245e-117,3.70225716535219e-12,3.78636228470407e-261,3.07063952302623e-09,9.35576045526208e-32,0.00522254053707042,2.74071069141073e-30,5.12552219631403e-07,8.71641765221099e-45,6.06590448567539e-10,3.29941781395937e-19,4.74191588635709e-10
"ATP5B",1.68042108923013e-26,2.1805081712016e-20,7.91569650944717e-235,0.119300610698238,4.19381694639613e-134,7.05251470199886e-32,3.22185766042696e-28,5.5045097708035e-43,0.00529680446419169,1.64963658565856e-31,1.27599293885166e-19,0.0145445953663663,2.30212504375326e-91,0.35784031722777,1.58236951987913e-37,9.88405893175388e-35,0.00494630251509197,1.70466349720318e-166,1.38479087363218e-94,1.28320222934336e-65,0,1.92113817924398e-44,7.24360665673658e-43,0.0445438867519044,2.08554815587038e-41,0.798293067300171,6.26059993916721e-91,0.0692547967494293,1.54968284787096e-40,0.00351922427380516
"ATP6V0B",4.95250107673638e-134,3.49902230366895e-21,5.53378179620765e-52,0.0411545350055577,2.06954753788645e-07,2.27151649124642e-14,3.50446238974879e-73,7.57526549180016e-21,0.0123926303016633,7.11271415780253e-69,2.55301520240156e-152,0.0536019453552179,0,4.76492109189106e-05,5.18092326816266e-20,2.61872277419291e-107,0.0268592130453474,5.77508505081845e-156,0.0222327357755839,6.35458919952483e-41,1.97703059334329e-67,4.63592412693395e-83,2.07315472446736e-08,5.69031393486569e-15,2.02962870972495e-63,0.0165802175298357,4.06698677092352e-51,4.99791545754172e-108,3.27222063944798e-10,2.6593872213885e-13
"ATP6V0C",1.52016227056713e-66,0.262876472151767,6.43805064712324e-33,0.000623189698225938,5.1248696898967e-126,1.65341157495674e-37,1.42382464810674e-63,6.72547215167833e-77,0.199297880376678,3.32638720961955e-175,2.89372335572003e-18,0.121965765872794,0,0.00155997908795485,9.86231339356818e-89,2.49215747509435e-58,0.00765239519165052,1.45858654139887e-252,5.50442685131044e-29,5.81585928014521e-18,0,1.2074102301885e-77,4.02948523511072e-31,9.78890578663488e-41,1.71390343597158e-07,1.69872821480509e-107,2.69955688345757e-06,0.439176681392055,0.0170676095512339,0.00126444898781014
"ATP6V1A",1.40222417786666e-71,3.71865412759736e-36,0,0.050333376810013,1.05405319301567e-172,1.03179266359217e-32,0.0373654556178999,3.62356095885727e-81,0.990524504944157,6.92488240974283e-245,2.55026906302566e-74,0.0566284184584307,0,7.70683956421314e-07,1.02826255628709e-68,1.5231035122429e-17,2.93420061405229e-06,0,1.0159188114525e-48,2.86937464274343e-69,0,5.67959938207768e-17,1.00596096484091e-35,5.0616900894969e-52,1.05156892306844e-14,6.0962845423895e-108,6.87698238443195e-82,1.81657157329712e-63,5.65405590272355e-27,0.258019167929085
"ATP6V1D",2.36575303589185e-265,2.90979529254618e-52,7.28679275866871e-38,0.708873585263909,5.58069519921493e-156,1.26689111993755e-119,1.00469516559274e-182,0.00174598833883372,0.853563723075447,7.81630190553585e-23,4.66579655010738e-64,0.370661014767473,0.823741633503957,0.238671970342865,1.56243927197913e-105,1.11453812894856e-17,0.00544287679821195,1.42608598387823e-171,2.97428695914969e-115,3.55117120039608e-54,0,3.7014495779933e-63,7.51880312807544e-05,3.34047504310777e-54,2.12043253417662e-131,8.91277069954106e-64,0.233721107595738,2.8112636905855e-89,1.91658174017644e-09,1.3337025696355e-07
"ATRIP",0.037018742216193,1.84088893978335e-74,0.242828997756524,0.0776072861011456,8.25940007851713e-229,1.07139594793025e-13,1.96323916822465e-44,3.32369846819008e-108,0.000101383016551464,6.43877214890458e-36,3.80799416830728e-05,0.00945771262586429,0,1.71466738148674e-16,3.86856116960797e-204,5.23346908768081e-07,1.19733879792378e-21,4.22584771421014e-196,9.5485874971005e-187,3.37513213419232e-25,0,1.29938583258278e-56,1.3741807845209e-14,1.66172979878423e-16,2.17673531889196e-06,8.76163507068533e-57,6.70572659353757e-125,2.22908923030135e-151,2.45898551008041e-25,8.40591326808835e-16
"BIRC5",8.30690223965869e-153,2.02764857370009e-33,5.31994477965912e-204,7.31121612232609e-05,7.31868919464873e-244,8.19106644824111e-92,7.53310748329499e-25,5.15438226060276e-33,0.0670970466036499,4.13288202325703e-07,8.88048291510920e-13,3.98308641012196e-06,5.52774141040161e-194,1.27781916558896e-11,1.25164841746046e-30,0.00757591076834359,1.53246200896408e-09,4.74195668260085e-283,8.88920365494482e-200,2.93720314139476e-17,2.14020940733746e-238,1.60748070758894e-213,7.87583473764752e-44,0.00142516066174191,1.96173402617632e-10,0.00509303707266818,1.24960072663858e-121,5.79933088161395e-175,1.67492157731113e-78,0.316351520777044
