"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"ATP6V1D",5.86775729122188e-12,2.86325407904211e-11,1.72794061716395e-152,0.380650745573486,3.23286643074628e-114,8.98858378577586e-13,3.20310591551849e-61,5.05712004073663e-41,0.28565968576338,1.10020343855192e-17,1.69816217250271e-17,0.430037647581482,0.00100026491490484,0.315929213064965,6.22302444377959e-29,2.12305961371886e-08,0.39267427505446,1.98478088778166e-77,1.09725510114904e-45,1.90773320957002e-08,0.00371075139687133,1.85556053337184e-48,4.4050617037222e-05,0.0106556947764257,1.64054433499927e-06,1.61797052287859e-09,5.559607031229e-14,6.13209059687335e-19,0.000414880323587538,0.940216635511247
"ATRIP",5.42189605923863e-37,2.40476744114551e-30,7.86444034948704e-15,0.553910070464421,0,0.586649920587145,2.68872355179743e-23,3.20085788615216e-71,0.0108052967667898,9.4034359090135e-39,2.11674017679269e-13,0.00279962479070462,7.69000945257459e-100,0.0365974840256879,1.5983024337962e-25,0.352952749963764,0.16843596774788,1.89745428013907e-15,5.93608244717684e-33,7.29696332033629e-15,1.13572568582659e-07,0.00134915455400234,0.0267494682113082,0.0749106638708969,0.0148265646712602,0.000236151591495506,2.02386529637238e-52,1.6487302491227e-47,0.00573950155423121,4.90289658052339e-18
"BIRC5",1.94761829602782e-17,0.0285622093488036,1.04386321532388e-131,0.109274311938039,0.0653464825290985,3.69839564496915e-19,1.07121153796367e-10,2.98798044678775e-06,0.680691543824534,0.0767007034629636,0.0994253653141368,0.220821741370353,7.02416373552241e-153,0.31172921165774,2.57310946670049e-16,2.72386969233671e-08,1.68185684569692e-06,0.512323076403396,0.591418387214725,6.76756761606277e-15,0.000711235755341616,0.000462828086342345,0.21680039719506,5.48350425203035e-13,9.60327020968063e-07,0.871762722226117,3.79461456935496e-112,0.0240414710101069,0.00224820659947582,6.13065742211548e-08
"BORA",2.55635602424825e-70,1.11596287495705e-54,5.74641338928331e-74,0.0809086826301945,2.53860618703216e-72,1.1874082439788e-44,4.68575030112036e-19,2.6163618031958e-136,7.78278319121549e-05,0.65874007162666,1.05678725846122e-61,0.0499230270408131,2.27054785909751e-59,0.378600290717898,0.00761987957348482,0.0676583934711154,3.80873019230354e-10,3.23170965794358e-51,2.55624608280404e-112,4.43934288564507e-08,1.32011800410046e-24,2.98376010081203e-31,1.6662777657271e-07,1.55874681949568e-08,8.97121889969191e-25,0.0121843865686062,1.55899609333989e-24,1.51583931361793e-15,4.76246021552875e-13,0.551567580012455
"BRF1",6.92682537197403e-38,1.49970855912684e-07,8.30934939484457e-124,0.0539255611229653,8.46991588024759e-106,0.145368825978985,7.05831043875646e-30,2.42825655411601e-38,0.00931313704070167,0.108518701795919,0.00569914037489311,0.857434333565888,5.37016005609381e-07,0.0343389986694625,0.815719670722137,0.0453259306991367,0.0113699446060718,0.00970414772599201,1.08254373514442e-42,0.149013453276018,2.5531799616571e-15,6.09813964684463e-13,2.98565154483901e-20,0.0546555456077776,0.115258740313707,2.23158130888848e-16,2.63716904795622e-32,0.000700153369957393,0.144099295761289,0.858547063249992
"BRIX1",4.63393926019862e-11,2.31928035408627e-11,0.0189200218597191,0.0394069031382975,0.291842318171818,2.27581769318074e-10,8.26343667904798e-11,4.78478082341083e-105,0.0174746738780089,3.06957335852457e-35,1.43606092923104e-05,0.0388354110879057,8.36002718654198e-12,0.0687762943544638,0.00132505231827521,0.00522323099000917,0.000670106553789793,7.96260825014678e-17,0.12475122127265,1.62161860994174e-12,4.23999844546733e-28,1.10063630057426e-13,0.000590976029574955,1.98081395273018e-05,3.76595128671899e-12,0.000902380366991369,1.57231090012125e-17,0.0867470727223678,9.32447721148486e-15,0.000291093792837246
"BUB1B",0.000359973463504602,0.477236774916564,1.1604189245918e-110,0.198205742489005,1.89686952788282e-59,9.1202881647646e-12,1.05080838445789e-07,0.0172504259420412,0.712300716991107,0.0214114452484904,0.303908429311604,0.132223233712497,6.62994492591796e-113,0.608410034431021,4.718750052317e-11,0.362172925890846,2.578810850345e-07,9.06777575577515e-07,4.49911446478447e-06,4.14928057015108e-15,0.12217220372464,4.71109957859105e-22,0.195705085397964,3.48431778406965e-12,4.87799633497623e-10,0.0847199699526233,1.83035796936148e-113,3.24167139309186e-12,0.0626412038532086,3.80267647258861e-07
"BUB3",2.52206093834461e-62,7.44976358000533e-56,1.31428347938614e-50,0.0677719026422882,4.41575079504162e-279,0.000161335266513745,5.77086646544125e-40,3.36164344797274e-163,0.0270574147726122,3.41659138385309e-131,1.35343530711621e-10,0.402575616590248,0.000221394828091281,0.895193040128572,6.90582452030244e-17,0.000140898627144729,7.21090995374239e-11,9.04119237770011e-44,0.00899172116612565,6.6058622247961e-18,3.71092622275608e-20,2.07032479153771e-35,9.88175467063258e-16,0.615862100752586,0.360393172056812,0.0196489185671657,1.22673566704705e-44,0.0222636150985704,0.000552031556244415,9.42425528841548e-11
"BUD31",0.000948167132336572,1.12959312912212e-06,0.117105987557073,0.473910638668112,1.12108422137329e-14,1.6898445519372e-19,0.00146742698201927,4.41306316111941e-51,0.123142982059361,1.04814693857117e-06,2.56010387036646e-84,0.0914865263736856,5.20742980539092e-05,0.0760461618337515,6.83733266283497e-17,4.19043770383454e-32,9.31558853670673e-06,1.14181983086601e-19,6.7895726067004e-112,1.01108658180013e-06,3.55169824692876e-18,0.11616108959099,0.000202739128618512,0.127921659680963,0.141469627930294,1.08031470823581e-15,2.1596917645707e-64,0.000443016035054297,2.21633883532704e-07,0.0101078750414596
"BYSL",3.53068425656785e-12,2.74216991821804e-15,8.73290618106151e-128,0.881138801267182,2.38469721480108e-05,0.709681209525502,0.129226787175473,3.74239485005921e-106,0.35584381213766,2.2429151919388e-51,5.33509094084326e-11,0.170897607179979,5.0782620070851e-87,0.00026052917859808,1.01059221929219e-05,0.848017138985265,1.42145001121774e-05,0.442154655817331,6.8514133026664e-08,1.18552675545145e-10,1.93350428951657e-26,0.00175307318112251,0.046595043650889,4.83360928529405e-08,1.8434726203948e-10,2.26750435787509e-13,1.52545720533911e-82,2.31019932541228e-34,1.19426357795112e-07,3.48445294187215e-12
"C15orf41",1.59966494204181e-82,2.35729014459085e-69,3.17199006288715e-60,0.284375962871328,1.08781135129579e-38,4.46588431836366e-05,2.00730299371855e-36,2.69511591484011e-31,0.011785218771317,1.69474490061073e-17,1.72734115181124e-08,0.156116399651495,6.22380885800917e-182,0.670011174144792,1.51260257862129e-19,7.49172205126236e-21,0.012712486738742,6.67101657147896e-25,1.63763680327638e-57,3.19217220308756e-20,6.71598100336007e-08,6.5928727145862e-23,0.0670633802543985,3.52683814783438e-05,0.0762846143686183,3.0315465829429e-06,4.17233921433488e-58,5.26123029142541e-20,1.57289680625435e-11,0.88867992376657
