"","x"
"867","ARL8A"
"868","ARL8B"
"869","ARMC1"
"870","ARMC10"
"871","ARMC12"
"872","ARMC2"
"873","ARMC3"
"874","ARMC4"
"875","ARMC5"
"876","ARMC6"
"877","ARMC9"
"878","ARMCX1"
"879","ARMCX2"
"880","ARMCX3"
"881","ARMCX6"
"882","ARMS2"
"883","ARNT"
"884","ARNT2"
"885","ARNTL"
"886","ARNTL2"
"887","ARPC1A"
"888","ARPC1B"
"889","ARPC5"
"890","ARPC5L"
"891","ARPP19"
"892","ARPP21"
"893","ARR3"
"894","ARRB1"
"895","ARRB2"
"896","ARRDC1"
"897","ARRDC2"
"898","ARRDC3"
"899","ARRDC4"
"900","ARRDC5"
"901","ARSA"
"902","ARSB"
"903","ARSD"
"904","ARSE"
"905","ARSF"
"906","ARSG"
"907","ARSH"
"908","ARSI"
"909","ARSJ"
"910","ARSK"
"911","ART1"
"912","ART3"
"913","ART4"
"914","ART5"
"915","ARTN"
"916","ARV1"
"917","ARVCF"
"918","ARX"
"919","AS3MT"
"920","ASAH1"
"921","ASAH2"
"922","ASAH2B"
"923","ASAP2"
"924","ASAP3"
"925","ASB1"
"926","ASB10"
"927","ASB11"
"928","ASB12"
"929","ASB13"
"930","ASB14"
"931","ASB16"
"932","ASB17"
"933","ASB18"
"934","ASB2"
"935","ASB4"
"936","ASB5"
"937","ASB6"
"938","ASB7"
"939","ASB8"
"940","ASB9"
"941","ASCC1"
"942","ASCC2"
"943","ASCL1"
"944","ASCL2"
"945","ASCL4"
"946","ASF1A"
"947","ASF1B"
"948","ASGR1"
"949","ASGR2"
"950","ASH1L"
"951","ASIC1"
"952","ASIC2"
"953","ASIC3"
"954","ASIC4"
"955","ASIC5"
"956","ASIP"
"957","ASL"
"958","ASMT"
"959","ASMTL"
"960","ASNS"
"961","ASPA"
"962","ASPDH"
"963","ASPH"
"964","ASPHD1"
"965","ASPHD2"
"966","ASPN"
"967","ASPRV1"
"968","ASPSCR1"
"969","ASRGL1"
"970","ASS1"
"971","ASTE1"
"972","ASTL"
"973","ASTN1"
"974","ASTN2"
"975","ASXL1"
"976","ASXL3"
"977","ASZ1"
"978","ATAD1"
"979","ATAD2"
"980","ATAD2B"
"981","ATAD3A"
"982","ATAD3B"
"983","ATAD3C"
"984","ATAT1"
"985","ATCAY"
"986","ATE1"
"987","ATF1"
"988","ATF2"
"989","ATF3"
"990","ATF5"
"991","ATF6"
"992","ATF6B"
"993","ATF7"
"994","ATF7IP2"
"995","ATG10"
"996","ATG12"
"997","ATG13"
"998","ATG14"
"999","ATG16L1"
"1000","ATG16L2"
"1001","ATG2A"
"1002","ATG2B"
"1003","ATG3"
"1004","ATG4A"
"1005","ATG4B"
"1006","ATG4C"
"1007","ATG4D"
"1008","ATG5"
"1009","ATG7"
"1010","ATG9A"
"1011","ATHL1"
"1012","ATL1"
"1013","ATL3"
"1014","ATMIN"
"1015","ATN1"
"1016","ATOH1"
"1017","ATOH7"
"1018","ATOH8"
"1019","ATP10A"
"1020","ATP10B"
"1021","ATP10D"
"1022","ATP11B"
"1023","ATP11C"
"1024","ATP12A"
"1025","ATP13A2"
"1026","ATP13A4"
"1027","ATP13A5"
"1028","ATP1A2"
"1029","ATP1A3"
"1030","ATP1A4"
"1031","ATP1B1"
"1032","ATP1B2"
"1033","ATP1B3"
"1034","ATP1B4"
"1035","ATP2A1"
"1036","ATP2A3"
