"","x"
"468","SNRNP48"
"469","SNRPD3"
"470","SNRPE"
"471","SNRPF"
"472","SOD1"
"473","SON"
"474","SPATA5"
"475","SPATA5L1"
"476","SPC24"
"477","SRBD1"
"478","SRFBP1"
"479","SRRT"
"480","SRSF1"
"481","SRSF2"
"482","SRSF7"
"483","SSU72"
"484","SUDS3"
"485","SUGT1"
"486","SUPT5H"
"487","SUPT6H"
"488","SYMPK"
"489","SYS1"
"490","TAF1C"
"491","TAF6"
"492","TARS"
"493","TBCA"
"494","TBCD"
"495","TCP1"
"496","THOC1"
"497","THOC5"
"498","THOC7"
"499","TICRR"
"500","TIMELESS"
"501","TIMM10"
"502","TIMM23"
"503","TIMM44"
"504","TKT"
"505","TMEM199"
"506","TNPO3"
"507","TOMM40"
"508","TOP1"
"509","TOP2A"
"510","TOP3A"
"511","TP53RK"
"512","TPX2"
"513","TRAIP"
"514","TRAPPC1"
"515","TRAPPC11"
"516","TRIAP1"
"517","TRMT5"
"518","TRMT6"
"519","TRMT61A"
"520","TRRAP"
"521","TRUB2"
"522","TSEN54"
"523","TSR1"
"524","TSR2"
"525","TTC1"
"526","TTC27"
"527","TTI1"
"528","TTK"
"529","TUBG1"
"530","TUBGCP6"
"531","TUFM"
"532","TUT1"
"533","TWISTNB"
"534","TXNL4A"
"535","U2AF1"
"536","U2AF2"
"537","UBA1"
"538","UBA2"
"539","UBA3"
"540","UBL5"
"541","UBR4"
"542","UBTF"
"543","UFD1L"
"544","UPF1"
"545","UPF2"
"546","USP39"
"547","USP5"
"548","USPL1"
"549","UTP11L"
"550","UTP15"
"551","UTP6"
"552","VARS"
"553","VCP"
"554","VPS13D"
"555","VPS25"
"556","WARS"
"557","WBSCR22"
"558","WDHD1"
"559","WDR18"
"560","WDR3"
"561","WDR33"
"562","WDR43"
"563","WDR46"
"564","WDR55"
"565","WDR70"
"566","WDR74"
"567","WDR75"
"568","WDR77"
"569","WDR92"
"570","WEE1"
"571","XPO1"
"572","XPO5"
"573","XRN2"
"574","YARS"
"575","YARS2"
"576","YKT6"
"577","ZBTB11"
"578","ZMAT2"
"579","ZNF131"
"580","ZNF259"
"581","ZNF407"
"582","ZNHIT6"
"583","ZZZ3"
